year_month,hotel,country,meal,market_segment,reserved_room_type,booking_id,adult_nights,children_nights,stays_in_weekend_nights,stays_in_week_nights,room_nights,revenue,adr,average_stay
2015-07,Resort Hotel,ESP,BB,Online TA,G,1,14,0,2,5,7,1229.97,175.71,7.0
2015-07,Resort Hotel,ESP,BB,Online TA,H,2,24,8,2,8,10,1750.0,175.0,5.0
2015-07,Resort Hotel,ESP,FB,Offline TA/TO,A,2,18,0,2,7,9,1352.38,150.26444444444445,4.5
2015-07,Resort Hotel,ESP,FB,Offline TA/TO,D,1,12,0,2,4,6,945.0,157.5,6.0
2015-07,Resort Hotel,ESP,HB,Direct,A,3,28,0,4,10,14,2030.0,145.0,4.666666666666667
2015-07,Resort Hotel,ESP,HB,Direct,C,1,14,14,2,5,7,1260.0,180.0,7.0
2015-07,Resort Hotel,ESP,HB,Direct,E,3,36,7,6,12,18,3315.54,184.19666666666666,6.0
2015-07,Resort Hotel,ESP,HB,Direct,F,1,20,0,3,7,10,1949.0,194.9,10.0
2015-07,Resort Hotel,ESP,HB,Offline TA/TO,A,8,100,0,13,37,50,6653.8,133.076,6.25
2015-07,Resort Hotel,ESP,HB,Offline TA/TO,D,1,14,0,2,5,7,1043.0,149.0,7.0
2015-07,Resort Hotel,ESP,HB,Offline TA/TO,E,1,21,0,2,5,7,1375.78,196.54,7.0
2015-07,Resort Hotel,ESP,HB,Online TA,A,18,192,0,23,73,96,13726.32,142.9825,5.333333333333333
2015-07,Resort Hotel,ESP,HB,Online TA,C,1,14,14,2,5,7,919.59,131.37,7.0
2015-07,Resort Hotel,ESP,HB,Online TA,D,11,124,12,16,46,62,10003.1,161.34032258064516,5.636363636363637
2015-07,Resort Hotel,ESP,HB,Online TA,E,6,52,0,4,22,26,4566.59,175.63807692307694,4.333333333333333
2015-07,Resort Hotel,ESP,HB,Online TA,F,1,12,6,2,4,6,1206.3000000000002,201.05000000000004,6.0
2015-07,Resort Hotel,EST,BB,Online TA,G,1,10,10,2,3,5,747.0,149.4,5.0
2015-07,Resort Hotel,FIN,BB,Offline TA/TO,A,2,24,0,3,9,12,1177.0,98.08333333333333,6.0
2015-07,Resort Hotel,FIN,BB,Offline TA/TO,E,2,32,0,6,10,16,2042.08,127.63,8.0
2015-07,Resort Hotel,FIN,BB,Online TA,E,1,8,0,2,2,4,428.0,107.0,4.0
2015-07,Resort Hotel,FIN,BB,Online TA,F,1,2,0,0,1,1,123.2,123.2,1.0
2015-07,Resort Hotel,FRA,BB,Corporate,A,1,2,0,0,1,1,107.42,107.42,1.0
2015-07,Resort Hotel,FRA,BB,Direct,A,1,11,0,3,8,11,803.0,73.0,11.0
2015-07,Resort Hotel,FRA,BB,Direct,D,1,2,0,0,1,1,153.0,153.0,1.0
2015-07,Resort Hotel,FRA,BB,Direct,H,1,24,0,2,6,8,1680.0,210.0,8.0
2015-07,Resort Hotel,FRA,BB,Offline TA/TO,A,3,40,0,6,14,20,1531.0,76.55,6.666666666666667
2015-07,Resort Hotel,FRA,BB,Offline TA/TO,D,1,6,0,2,1,3,214.64999999999998,71.55,3.0
2015-07,Resort Hotel,FRA,BB,Offline TA/TO,F,1,6,12,2,4,6,578.9399999999999,96.49,6.0
2015-07,Resort Hotel,FRA,BB,Online TA,A,4,24,0,4,8,12,1033.8,86.14999999999999,3.0
2015-07,Resort Hotel,FRA,BB,Online TA,D,1,4,0,2,0,2,194.0,97.0,2.0
2015-07,Resort Hotel,FRA,BB,Online TA,F,1,4,0,2,0,2,181.42,90.71,2.0
2015-07,Resort Hotel,FRA,HB,Direct,A,1,22,0,4,7,11,1679.8100000000002,152.71,11.0
2015-07,Resort Hotel,FRA,HB,Online TA,A,1,18,0,4,5,9,1334.7,148.3,9.0
2015-07,Resort Hotel,FRA,HB,Online TA,D,1,8,4,0,4,4,670.76,167.69,4.0
2015-07,Resort Hotel,GBR,BB,Direct,A,3,31,0,4,12,16,1873.1,117.06875,5.333333333333333
2015-07,Resort Hotel,GBR,BB,Direct,G,1,8,0,0,4,4,612.0,153.0,4.0
2015-07,Resort Hotel,GBR,BB,Offline TA/TO,A,33,518,0,75,183,258,23240.5,90.07945736434108,7.818181818181818
2015-07,Resort Hotel,GBR,BB,Offline TA/TO,C,1,20,0,4,6,10,1352.0,135.2,10.0
2015-07,Resort Hotel,GBR,BB,Offline TA/TO,D,16,288,0,44,100,144,14967.56,103.94138888888888,9.0
2015-07,Resort Hotel,GBR,BB,Offline TA/TO,E,8,170,21,23,55,78,10384.19,133.13064102564104,9.75
2015-07,Resort Hotel,GBR,BB,Online TA,A,19,154,0,22,56,78,8335.57,106.86628205128204,4.105263157894737
2015-07,Resort Hotel,GBR,BB,Online TA,C,2,20,14,3,7,10,1532.5,153.25,5.0
2015-07,Resort Hotel,GBR,BB,Online TA,D,6,68,1,10,24,34,4897.08,144.03176470588235,5.666666666666667
2015-07,Resort Hotel,GBR,BB,Online TA,E,5,48,0,7,17,24,2796.7799999999997,116.53249999999998,4.8
2015-07,Resort Hotel,GBR,BB,Online TA,F,3,55,0,9,21,30,2997.35,99.91166666666666,10.0
2015-07,Resort Hotel,GBR,BB,Online TA,G,2,26,22,2,11,13,2511.9700000000003,193.22846153846154,6.5
2015-07,Resort Hotel,GBR,BB,Online TA,H,1,16,16,2,6,8,1729.04,216.13,8.0
2015-07,Resort Hotel,GBR,HB,Offline TA/TO,A,16,243,0,38,94,132,13503.36,102.29818181818182,8.25
2015-07,Resort Hotel,GBR,HB,Offline TA/TO,D,7,124,0,17,45,62,7282.8099999999995,117.46467741935483,8.857142857142858
2015-07,Resort Hotel,GBR,HB,Offline TA/TO,E,5,90,0,13,32,45,5993.44,133.18755555555555,9.0
2015-07,Resort Hotel,GBR,HB,Online TA,A,3,55,6,6,17,23,3062.4300000000003,133.14913043478262,7.666666666666667
2015-07,Resort Hotel,GBR,HB,Online TA,D,2,28,7,4,10,14,1469.3,104.95,7.0
2015-07,Resort Hotel,GBR,HB,Online TA,E,1,24,0,2,6,8,1864.4,233.05,8.0
2015-07,Resort Hotel,GBR,HB,Online TA,F,2,28,7,4,10,14,1640.5900000000001,117.18500000000002,7.0
2015-07,Resort Hotel,GRC,BB,Online TA,D,1,6,0,1,2,3,291.0,97.0,3.0
2015-07,Resort Hotel,HRV,BB,Online TA,A,1,6,0,0,3,3,402.0,134.0,3.0
2015-07,Resort Hotel,HUN,BB,Online TA,A,1,4,0,0,2,2,231.0,115.5,2.0
2015-07,Resort Hotel,IDN,HB,Direct,G,1,8,8,1,3,4,1008.0,252.0,4.0
2015-07,Resort Hotel,IRL,BB,Direct,A,6,76,0,11,27,38,4115.7,108.3078947368421,6.333333333333333
2015-07,Resort Hotel,IRL,BB,Direct,C,1,14,14,2,5,7,1201.97,171.71,7.0
2015-07,Resort Hotel,IRL,BB,Direct,D,3,25,0,5,10,15,2177.0,145.13333333333333,5.0
2015-07,Resort Hotel,IRL,BB,Direct,E,1,18,9,2,7,9,1440.0,160.0,9.0
2015-07,Resort Hotel,IRL,BB,Offline TA/TO,A,26,353,7,50,123,173,14028.279999999999,81.08832369942196,6.653846153846154
2015-07,Resort Hotel,IRL,BB,Offline TA/TO,D,9,128,0,18,46,64,6528.75,102.01171875,7.111111111111111
2015-07,Resort Hotel,IRL,BB,Offline TA/TO,E,6,98,0,15,34,49,5569.86,113.67061224489795,8.166666666666666
2015-07,Resort Hotel,IRL,BB,Online TA,A,8,133,0,16,47,63,6844.8,108.64761904761905,7.875
2015-07,Resort Hotel,IRL,BB,Online TA,E,2,22,0,2,9,11,1675.98,152.3618181818182,5.5
2015-07,Resort Hotel,IRL,BB,Online TA,F,1,14,0,2,5,7,681.0300000000001,97.29,7.0
2015-07,Resort Hotel,IRL,BB,Online TA,H,1,10,10,2,3,5,980.0,196.0,5.0
2015-07,Resort Hotel,IRL,HB,Offline TA/TO,A,1,7,0,2,5,7,422.45,60.35,7.0
2015-07,Resort Hotel,IRL,HB,Offline TA/TO,D,1,28,0,4,10,14,1773.1000000000001,126.65,14.0
2015-07,Resort Hotel,IRL,HB,Online TA,E,2,28,0,4,10,14,1898.4699999999998,135.605,7.0
2015-07,Resort Hotel,ISR,BB,Online TA,A,2,8,0,0,4,4,536.0,134.0,2.0
2015-07,Resort Hotel,ISR,BB,Online TA,F,1,10,0,2,3,5,631.4,126.28,5.0
2015-07,Resort Hotel,ITA,BB,Direct,C,1,6,6,2,1,3,486.0,162.0,3.0
2015-07,Resort Hotel,ITA,BB,Offline TA/TO,A,1,14,0,2,5,7,622.65,88.95,7.0
2015-07,Resort Hotel,ITA,BB,Offline TA/TO,D,2,34,0,6,11,17,1788.3,105.19411764705882,8.5
2015-07,Resort Hotel,ITA,BB,Online TA,A,1,5,0,2,3,5,420.6,84.12,5.0
2015-07,Resort Hotel,ITA,BB,Online TA,E,2,34,0,6,11,17,2901.0,170.64705882352942,8.5
2015-07,Resort Hotel,ITA,HB,Online TA,A,1,8,0,0,4,4,529.2,132.3,4.0
2015-07,Resort Hotel,LUX,BB,Direct,F,2,15,0,2,4,6,1164.0,194.0,3.0
2015-07,Resort Hotel,LUX,HB,Online TA,A,1,12,6,2,4,6,882.0,147.0,6.0
2015-07,Resort Hotel,MAR,BB,Online TA,A,1,18,0,2,7,9,1153.8,128.2,9.0
2015-07,Resort Hotel,MOZ,BB,Online TA,A,2,12,3,2,4,6,666.0,111.0,3.0
2015-07,Resort Hotel,NLD,BB,Direct,A,1,8,0,0,4,4,392.0,98.0,4.0
2015-07,Resort Hotel,NLD,BB,Direct,D,1,2,0,1,0,1,135.0,135.0,1.0
2015-07,Resort Hotel,NLD,BB,Offline TA/TO,A,2,32,0,5,11,16,1455.2,90.95,8.0
2015-07,Resort Hotel,NLD,BB,Offline TA/TO,D,1,28,0,4,10,14,1463.7,104.55,14.0
2015-07,Resort Hotel,NLD,BB,Online TA,A,2,30,12,3,12,15,1562.4,104.16000000000001,7.5
2015-07,Resort Hotel,NLD,BB,Online TA,D,4,45,8,7,18,25,2996.2,119.848,6.25
2015-07,Resort Hotel,NLD,BB,Online TA,E,2,28,0,3,11,14,2258.0,161.28571428571428,7.0
2015-07,Resort Hotel,NOR,BB,Direct,E,1,9,0,0,3,3,582.0,194.0,3.0
2015-07,Resort Hotel,NOR,BB,Direct,F,1,14,0,2,5,7,1120.0,160.0,7.0
2015-07,Resort Hotel,NOR,BB,Offline TA/TO,D,3,50,0,6,19,25,2465.66,98.62639999999999,8.333333333333334
2015-07,Resort Hotel,NOR,BB,Offline TA/TO,E,1,14,0,2,5,7,580.16,82.88,7.0
2015-07,Resort Hotel,NOR,BB,Online TA,A,1,12,0,1,5,6,619.08,103.18,6.0
2015-07,Resort Hotel,NOR,BB,Online TA,C,1,10,5,1,4,5,606.75,121.35,5.0
2015-07,Resort Hotel,NOR,BB,Online TA,E,1,8,0,1,3,4,446.6,111.65,4.0
2015-07,Resort Hotel,NZL,BB,Direct,D,1,2,0,0,1,1,154.0,154.0,1.0
2015-07,Resort Hotel,OMN,BB,Offline TA/TO,D,1,28,0,4,10,14,1549.8,110.7,14.0
2015-07,Resort Hotel,POL,BB,Offline TA/TO,A,1,10,0,2,3,5,327.5,65.5,5.0
2015-07,Resort Hotel,POL,BB,Online TA,A,2,18,0,3,6,9,824.0,91.55555555555556,4.5
2015-07,Resort Hotel,POL,BB,Online TA,D,1,4,0,0,2,2,194.0,97.0,2.0
2015-07,Resort Hotel,POL,BB,Online TA,E,1,10,0,0,5,5,681.0,136.2,5.0
2015-07,Resort Hotel,POL,HB,Offline TA/TO,D,1,14,0,2,5,7,627.76,89.67999999999999,7.0
2015-07,Resort Hotel,POL,HB,Online TA,D,1,12,0,2,4,6,641.4000000000001,106.90000000000002,6.0
2015-07,Resort Hotel,PRT,BB,Corporate,A,14,19,0,1,17,18,2523.0,140.16666666666666,1.2857142857142858
2015-07,Resort Hotel,PRT,BB,Direct,A,35,268,2,38,97,135,14973.73,110.91651851851852,3.857142857142857
2015-07,Resort Hotel,PRT,BB,Direct,C,6,64,23,8,19,27,3841.0,142.25925925925927,4.5
2015-07,Resort Hotel,PRT,BB,Direct,D,19,176,0,19,66,85,11353.32,133.5684705882353,4.473684210526316
2015-07,Resort Hotel,PRT,BB,Direct,E,12,134,0,21,46,67,7975.8099999999995,119.04194029850746,5.583333333333333
2015-07,Resort Hotel,PRT,BB,Direct,F,5,46,7,6,17,23,3746.0,162.8695652173913,4.6
2015-07,Resort Hotel,PRT,BB,Direct,G,8,116,5,11,32,43,7848.599999999999,182.52558139534884,5.375
2015-07,Resort Hotel,PRT,BB,Direct,H,5,57,10,4,17,21,3835.5,182.64285714285714,4.2
2015-07,Resort Hotel,PRT,BB,Direct,L,2,9,0,1,2,3,382.0,127.33333333333333,1.5
2015-07,Resort Hotel,PRT,BB,Offline TA/TO,A,27,262,5,42,100,142,13710.66,96.55394366197183,5.2592592592592595
2015-07,Resort Hotel,PRT,BB,Offline TA/TO,D,13,206,0,30,69,99,8731.79,88.199898989899,7.615384615384615
2015-07,Resort Hotel,PRT,BB,Offline TA/TO,E,5,50,0,8,17,25,3202.85,128.114,5.0
2015-07,Resort Hotel,PRT,BB,Offline TA/TO,F,1,8,0,1,3,4,668.8,167.2,4.0
2015-07,Resort Hotel,PRT,BB,Online TA,A,77,577,18,78,218,296,33856.11,114.37875,3.844155844155844
2015-07,Resort Hotel,PRT,BB,Online TA,C,1,2,2,0,1,1,123.0,123.0,1.0
2015-07,Resort Hotel,PRT,BB,Online TA,D,27,243,15,24,94,118,15470.9,131.1093220338983,4.37037037037037
2015-07,Resort Hotel,PRT,BB,Online TA,E,21,190,2,28,63,91,12582.92,138.27384615384616,4.333333333333333
2015-07,Resort Hotel,PRT,BB,Online TA,F,1,6,0,1,2,3,428.13,142.71,3.0
2015-07,Resort Hotel,PRT,BB,Online TA,G,8,64,34,10,23,33,6262.62,189.77636363636364,4.125
2015-07,Resort Hotel,PRT,BB,Online TA,H,3,20,20,2,8,10,2152.01,215.20100000000002,3.3333333333333335
2015-07,Resort Hotel,PRT,FB,Direct,A,1,14,7,2,5,7,1224.6499999999999,174.95,7.0
2015-07,Resort Hotel,PRT,FB,Direct,C,1,2,2,0,1,1,249.0,249.0,1.0
2015-07,Resort Hotel,PRT,FB,Direct,D,2,28,7,4,10,14,2982.7,213.04999999999998,7.0
2015-07,Resort Hotel,PRT,FB,Direct,F,2,16,0,4,4,8,1576.0,197.0,4.0
2015-07,Resort Hotel,PRT,FB,Groups,A,18,72,0,0,36,36,3931.92,109.22,2.0
2015-07,Resort Hotel,PRT,FB,Offline TA/TO,A,3,46,0,6,17,23,3178.97,138.21608695652174,7.666666666666667
2015-07,Resort Hotel,PRT,FB,Offline TA/TO,C,1,14,7,2,5,7,936.8100000000001,133.83,7.0
2015-07,Resort Hotel,PRT,FB,Offline TA/TO,D,1,20,0,2,8,10,1112.0,111.2,10.0
2015-07,Resort Hotel,PRT,FB,Offline TA/TO,E,1,33,0,3,8,11,2194.5,199.5,11.0
2015-07,Resort Hotel,PRT,FB,Offline TA/TO,F,1,14,7,2,5,7,1347.5,192.5,7.0
2015-07,Resort Hotel,PRT,HB,Corporate,A,2,14,0,2,5,7,960.0,137.14285714285714,3.5
2015-07,Resort Hotel,PRT,HB,Direct,A,15,162,13,22,59,81,10311.04,127.2967901234568,5.4
2015-07,Resort Hotel,PRT,HB,Direct,C,3,27,14,4,9,13,2169.3999999999996,166.87692307692305,4.333333333333333
2015-07,Resort Hotel,PRT,HB,Direct,D,8,98,14,17,32,49,7036.0,143.59183673469389,6.125
2015-07,Resort Hotel,PRT,HB,Direct,E,13,183,10,22,70,92,14660.89,159.3575,7.076923076923077
2015-07,Resort Hotel,PRT,HB,Direct,F,3,36,3,4,14,18,3002.5,166.80555555555554,6.0
2015-07,Resort Hotel,PRT,HB,Direct,G,4,43,37,4,16,20,4289.99,214.49949999999998,5.0
2015-07,Resort Hotel,PRT,HB,Direct,H,1,12,12,1,5,6,1384.02,230.67,6.0
2015-07,Resort Hotel,PRT,HB,Offline TA/TO,A,26,324,28,44,115,159,20574.65,129.40031446540883,6.115384615384615
2015-07,Resort Hotel,PRT,HB,Offline TA/TO,D,8,115,10,17,44,61,8281.380000000001,135.76032786885247,7.625
2015-07,Resort Hotel,PRT,HB,Offline TA/TO,E,1,30,0,3,7,10,1543.5,154.35,10.0
2015-07,Resort Hotel,PRT,HB,Online TA,A,19,220,7,31,79,110,15900.4,144.5490909090909,5.7894736842105265
2015-07,Resort Hotel,PRT,HB,Online TA,C,2,24,24,4,8,12,1888.25,157.35416666666666,6.0
2015-07,Resort Hotel,PRT,HB,Online TA,D,6,77,0,11,29,40,6442.61,161.06525,6.666666666666667
2015-07,Resort Hotel,PRT,HB,Online TA,E,8,104,3,16,36,52,8571.01,164.82711538461538,6.5
2015-07,Resort Hotel,PRT,HB,Online TA,F,1,2,1,0,1,1,193.81,193.81,1.0
2015-07,Resort Hotel,PRT,HB,Online TA,G,4,30,16,4,9,13,2517.0,193.6153846153846,3.25
2015-07,Resort Hotel,ROU,BB,Online TA,A,1,2,0,1,0,1,100.2,100.2,1.0
2015-07,Resort Hotel,ROU,BB,Online TA,C,1,4,0,1,1,2,246.0,123.0,2.0
2015-07,Resort Hotel,ROU,BB,Online TA,E,1,8,0,2,2,4,580.0,145.0,4.0
2015-07,Resort Hotel,ROU,HB,Direct,C,2,40,20,8,12,20,3644.0,182.2,10.0
2015-07,Resort Hotel,ROU,HB,Direct,E,2,20,0,4,6,10,1370.0,137.0,5.0
2015-07,Resort Hotel,ROU,HB,Offline TA/TO,D,1,24,0,2,6,8,1736.4,217.05,8.0
2015-07,Resort Hotel,ROU,HB,Online TA,D,2,24,0,4,8,12,1311.6,109.3,6.0
